id,modele_machine,annee_fabrication,fiabilite_modele,age_machine_ans,phase_vie,indice_usure,heures_par_jour,temps_total_fonctionnement_h,mode_fonctionnement,cadence_moyenne_unit_h,taux_utilisation_pct,charge_machine,type_maintenance,frequence_maintenance,nombre_maintenances,date_derniere_maintenance,jours_depuis_maintenance,intervalle_entre_maintenances_j,nombre_total_pannes,frequence_pannes_par_an,duree_moyenne_panne_h,nombre_interventions_techniques,nombre_pannes_repetees,type_panne_recurrente,intervalle_entre_pannes_j,cause_identifiee,panne
1,ROBOT-M3,1996,Faible,27,Ancienne,92.03,13.1,128778,Intermittent,102.7,76.2,Normale,Corrective,Annuelle,35.0,2018-07-11,2000.0,112.0,21,0.78,,23,20,Électrique,225,,1
2,PUMP-V7,2000,Moyenne,23,Ancienne,75.59,9.1,76567,Continu,,80.6,Normale,Mixte,Mensuelle,42.0,2023-10-24,70.0,64.0,26,1.13,2.29,29,24,Mécanique,160,Oui,0
3,PRESS-X5,2021,Moyenne,2,Nouvelle,11.28,11.3,8405,Continu,67.2,,Surcharge,Préventive,Hebdomadaire,2.0,2023-06-17,199.0,66.0,2,1.0,12.74,5,1,Mécanique,141,Non,0
4,COMP-T2,1995,Moyenne,28,Ancienne,97.09,17.0,173505,Continu,79.5,69.3,Sous-charge,Mixte,Trimestrielle,-1.0,2023-09-28,95.0,111.0,18,0.64,6.33,21,16,Thermique,77,Oui,1
5,MOTOR-K1,2009,Moyenne,14,Normale,50.01,8.7,44109,Continu,64.1,50.4,Normale,Préventive,Trimestrielle,20.0,2023-08-15,140.0,,9,0.64,5.01,11,8,Hydraulique,183,Oui,0
6,LATHE-9,2009,Elevée,14,Normale,49.82,13.0,66227,Intermittent,94.6,68.9,Normale,Mixte,Annuelle,21.0,2023-12-27,6.0,57.0,8,0.57,0.5,10,6,Thermique,158,Oui,0
7,ROBOT-M3,2008,Moyenne,15,Normale,52.77,15.5,84629,Continu,71.8,69.8,Sous-charge,Préventive,Mensuelle,24.0,2023-08-01,153.0,59.0,11,0.73,5.17,11,11,Électrique,158,Oui,0
8,DRILL-Z6,2001,Elevée,22,Ancienne,77.46,9.0,72545,Continu,54.3,82.5,Normale,Préventive,Hebdomadaire,35.0,2023-10-16,77.0,84.0,18,0.82,0.5,20,18,Hydraulique,139,Oui,0
9,CNC-2000,1999,Moyenne,24,Ancienne,82.47,7.7,67694,Continu,81.7,86.7,Sous-charge,Mixte,Hebdomadaire,33.0,2023-11-23,39.0,105.0,28,1.17,500.0,32,26,Aucune,337,Non,1
10,COMP-T2,2014,Elevée,9,Normale,38.59,8.2,26909,Intermittent,96.9,,Surcharge,Corrective,Annuelle,8.0,2023-11-22,40.0,26.0,5,0.56,4.53,9,2,Hydraulique,224,Non,0
11,PUMP-V7,2019,Faible,4,,17.8,13.2,19563,Continu,59.3,78.5,Surcharge,Corrective,Annuelle,5.0,2023-04-11,266.0,104.0,2,0.5,3.83,4,0,Mécanique,152,Oui,0
